Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,43.45666,16.14958,41.99,2.94375,10009.0
Linear Probing,0.1,1,21.62416,5.02417,28.24333,0.03417,10009.0
Linear Probing,0.1,2,5.04125,5.0975,9.91625,0.90667,10009.0
Linear Probing,0.1,3,5.34167,5.05417,10.00417,0.02667,10009.0
Linear Probing,0.1,4,5.03333,4.97875,9.76625,0.02875,10009.0
Linear Probing,0.3,0,0.70417,0.19166,0.99458,0.04708,10009.0
Linear Probing,0.3,1,0.0325,0.02709,0.70875,0.03083,10009.0
Linear Probing,0.3,2,0.0325,0.025,0.34708,0.02458,10009.0
Linear Probing,0.3,3,0.02958,0.02667,0.03292,0.02625,10009.0
Linear Probing,0.3,4,0.32791,0.02667,0.03125,0.02667,10009.0
Linear Probing,0.5,0,2.47083,0.03292,0.55333,0.05666,10009.0
Linear Probing,0.5,1,0.51584,0.02625,0.26,0.02916,10009.0
Linear Probing,0.5,2,0.04458,0.03292,0.04,0.03333,10009.0
Linear Probing,0.5,3,0.0475,0.02667,0.03083,0.02666,10009.0
Linear Probing,0.5,4,0.05083,0.02667,0.0325,0.02625,10009.0
Linear Probing,0.7,0,0.31667,0.03375,2.26167,0.0475,10009.0
Linear Probing,0.7,1,0.03208,0.02833,0.53917,0.02958,10009.0
Linear Probing,0.7,2,0.04041,0.02959,0.04708,0.02541,10009.0
Linear Probing,0.7,3,0.0325,0.025,0.03375,0.02375,10009.0
Linear Probing,0.7,4,0.03792,0.03333,0.04917,0.03083,10009.0
Linear Probing,0.9,0,0.57959,0.03292,0.04375,0.02958,10009.0
Linear Probing,0.9,1,0.02959,0.02625,0.03167,0.03084,10009.0
Linear Probing,0.9,2,0.03625,0.03292,0.04167,0.03417,10009.0
Linear Probing,0.9,3,0.03458,0.03166,0.04125,0.03542,10009.0
Linear Probing,0.9,4,0.02875,0.02583,0.03375,0.02583,10009.0
Quadratic Probing,0.1,0,1.3125,0.11417,53.00333,1.52042,10009.0
Quadratic Probing,0.1,1,3.72,0.03542,29.02042,0.37583,10009.0
Quadratic Probing,0.1,2,0.03125,0.02958,7.47542,0.02959,10009.0
Quadratic Probing,0.1,3,0.03125,0.03083,6.91833,0.03042,10009.0
Quadratic Probing,0.1,4,0.03042,0.025,7.03709,0.03167,10009.0
Quadratic Probing,0.3,0,0.27083,0.15708,2.23708,0.04667,10009.0
Quadratic Probing,0.3,1,0.03792,0.03209,0.03417,0.03042,10009.0
Quadratic Probing,0.3,2,0.03375,0.02917,0.0325,0.02834,10009.0
Quadratic Probing,0.3,3,0.03333,0.03,0.03042,0.02792,10009.0
Quadratic Probing,0.3,4,0.03834,0.03,0.03166,0.02916,10009.0
Quadratic Probing,0.5,0,0.98125,0.12417,1.185,0.07333,10009.0
Quadratic Probing,0.5,1,0.03541,0.03208,0.03209,0.02958,10009.0
Quadratic Probing,0.5,2,0.0325,0.02791,0.03083,0.02792,10009.0
Quadratic Probing,0.5,3,0.03166,0.03041,0.59166,0.02875,10009.0
Quadratic Probing,0.5,4,0.03125,0.02833,0.03209,0.02917,10009.0
Quadratic Probing,0.7,0,0.03875,0.03375,0.03875,3.28334,10009.0
Quadratic Probing,0.7,1,0.03459,0.03125,0.55459,0.02958,10009.0
Quadratic Probing,0.7,2,0.03917,0.03042,0.0375,0.02959,10009.0
Quadratic Probing,0.7,3,0.06542,0.02834,0.03917,0.02834,10009.0
Quadratic Probing,0.7,4,0.03125,0.02917,0.02959,0.02875,10009.0
Quadratic Probing,0.9,0,0.04292,0.035,0.03958,0.41792,10009.0
Quadratic Probing,0.9,1,0.97333,0.03084,0.0325,0.02875,10009.0
Quadratic Probing,0.9,2,0.03292,0.03125,0.03166,0.02916,10009.0
Quadratic Probing,0.9,3,0.0375,0.02875,0.03667,0.02875,10009.0
Quadratic Probing,0.9,4,0.03167,0.02958,0.03125,0.02917,10009.0
LinkedList,0.1,0,0.0,0.0,0.0,0.0,0.0
LinkedList,0.1,1,0.0,0.0,0.0,0.0,0.0
LinkedList,0.1,2,0.0,0.0,0.0,0.0,0.0
LinkedList,0.1,3,0.0,0.0,0.0,0.0,0.0
LinkedList,0.1,4,0.0,0.0,0.0,0.0,0.0
LinkedList,0.3,0,0.0,0.0,0.0,0.0,0.0
LinkedList,0.3,1,0.0,0.0,0.0,0.0,0.0
LinkedList,0.3,2,0.0,0.0,0.0,0.0,0.0
LinkedList,0.3,3,0.0,0.0,0.0,0.0,0.0
LinkedList,0.3,4,0.0,0.0,0.0,0.0,0.0
LinkedList,0.5,0,0.0,0.0,0.0,0.0,0.0
LinkedList,0.5,1,0.0,0.0,0.0,0.0,0.0
LinkedList,0.5,2,0.0,0.0,0.0,0.0,0.0
LinkedList,0.5,3,0.0,0.0,0.0,0.0,0.0
LinkedList,0.5,4,0.0,0.0,0.0,0.0,0.0
LinkedList,0.7,0,0.0,0.0,0.0,0.0,0.0
LinkedList,0.7,1,0.0,0.0,0.0,0.0,0.0
LinkedList,0.7,2,0.0,0.0,0.0,0.0,0.0
LinkedList,0.7,3,0.0,0.0,0.0,0.0,0.0
LinkedList,0.7,4,0.0,0.0,0.0,0.0,0.0
LinkedList,0.9,0,0.0,0.0,0.0,0.0,0.0
LinkedList,0.9,1,0.0,0.0,0.0,0.0,0.0
LinkedList,0.9,2,0.0,0.0,0.0,0.0,0.0
LinkedList,0.9,3,0.0,0.0,0.0,0.0,0.0
LinkedList,0.9,4,0.0,0.0,0.0,0.0,0.0
Cuckoo,0.1,0,3.14583,0.03375,0.74792,51.24667,22091.0
Cuckoo,0.1,1,0.02625,0.01625,0.04791,18.85291,22091.0
Cuckoo,0.1,2,0.01,0.00917,0.02958,9.76833,22091.0
Cuckoo,0.1,3,0.26791,0.01,0.03125,13.89625,22091.0
Cuckoo,0.1,4,0.01541,0.0125,0.03958,4.42542,22091.0
Cuckoo,0.3,0,0.19584,0.03583,0.33458,6.39083,22091.0
Cuckoo,0.3,1,0.01209,0.01042,2.23542,1.14791,22091.0
Cuckoo,0.3,2,0.01125,0.01125,0.04792,0.0325,22091.0
Cuckoo,0.3,3,0.01292,0.00958,0.03334,0.025,22091.0
Cuckoo,0.3,4,0.01208,0.01209,0.05041,0.03083,22091.0
Cuckoo,0.5,0,2.1275,0.01334,0.255,0.93375,22091.0
Cuckoo,0.5,1,0.07417,0.01209,0.03375,1.02042,22091.0
Cuckoo,0.5,2,0.00916,0.00875,0.02791,0.0225,22091.0
Cuckoo,0.5,3,0.01583,0.01166,0.04084,0.03166,22091.0
Cuckoo,0.5,4,0.00916,0.00834,0.02833,0.0225,22091.0
Cuckoo,0.7,0,0.02458,0.01084,2.01791,0.03125,28151.0
Cuckoo,0.7,1,2.83959,0.00917,3.0425,0.02166,28151.0
Cuckoo,0.7,2,0.28125,0.00875,0.89542,0.02042,28151.0
Cuckoo,0.7,3,0.01042,0.00875,0.02959,0.02166,28151.0
Cuckoo,0.7,4,0.00958,0.00875,0.02917,0.01959,28151.0
Cuckoo,0.9,0,0.015,0.01042,0.12958,0.02166,39293.0
Cuckoo,0.9,1,0.25834,0.00833,0.03084,0.02125,39293.0
Cuckoo,0.9,2,1.16625,0.01042,0.98833,0.02291,39293.0
Cuckoo,0.9,3,0.01,0.00875,0.02875,0.02042,39293.0
Cuckoo,0.9,4,0.01375,0.01125,0.03625,0.02625,39293.0
